feature,decisions,correlation,bottom_quintile_decisions,bottom_quintile_hit_rate,top_quintile_decisions,top_quintile_hit_rate,top_minus_bottom
hitter_ba_season,63375,0.06964932787183743,12789,0.4912033779028853,12341,0.603516732841747,0.11231335493886169
hitter_split_ba_season_vs_rhp,706,0.05972541882496414,145,0.5379310344827586,140,0.6428571428571429,0.10492610837438432
hitter_split_ba_1500_vs_lhp,64252,0.05959782521776721,13192,0.5015918738629472,12690,0.6023640661938534,0.10077219233090617
hitter_split_ba_500_vs_lhp,64252,0.05959919359398603,13192,0.5015918738629472,12689,0.6023327291354716,0.10074085527252441
inferred_pitch_type_xba,63255,0.053858789239351584,12672,0.4969223484848485,12605,0.5941293137643792,0.09720696527953065
hitter_k_rate_season,63846,-0.06657014315433499,12826,0.6023701855605801,12616,0.5068167406467977,-0.09555344491378237
pitcher_hpi_season,63842,0.06865258152101718,12884,0.5215771499534306,12733,0.6147019555485745,0.09312480559514391
pitcher_last_start_walks,677,-0.06633240841038777,317,0.6403785488958991,51,0.5490196078431373,-0.09135894105276177
hitter_ba_25_ab,64317,0.06351679704669304,16610,0.5270319084888622,8691,0.6171901967552641,0.09015828826640193
pitcher_last_start_hits,677,0.04715673470863413,265,0.6,83,0.6867469879518072,0.08674698795180724
hitter_last_5_games_ba,63876,0.057545303496780546,13016,0.516979102642901,11540,0.6022530329289428,0.0852739302860418
hitter_whiff_rate_500_pa,64376,-0.05613205758879512,12905,0.6065865943432778,12836,0.5345902150202555,-0.07199637932302227
pitcher_last_start_ip,677,-0.029482213906712285,159,0.6352201257861635,75,0.5733333333333334,-0.06188679245283013
hitter_whiff_rate_season,63839,-0.04687584789598239,12776,0.5907952410770194,12566,0.5297628521406971,-0.061032388936322346
hitter_split_ba_season_vs_lhp,702,0.05364375409598087,151,0.5562913907284768,133,0.6165413533834586,0.06024996265498184
h2h_hits,64482,0.04778065565611391,57109,0.5587910837171024,7373,0.6183371761833718,0.05954609246626941
pitcher_lr_opp_ba,63706,0.036750027893391296,13012,0.5388871810636335,12522,0.5955917585050311,0.05670457744139756
h2h_pa,64482,0.044243541968886614,43330,0.5489960766212786,12439,0.6051129512018651,0.05611687458058656
pitcher_lr_opp_ba_200,63706,0.033990163309974675,13026,0.5398433901427914,12407,0.5938583057951157,0.0540149156523243
pitcher_hpi_350,63587,0.030300019974973353,12821,0.5381795491771313,12656,0.5889696586599241,0.05079010948279283
pitcher_hpi_200,63587,0.0306385917529342,12814,0.5398782581551428,12707,0.5884158337923979,0.04853757563725514
pitcher_lr_opp_ba_50,63706,0.02903900637550996,13096,0.5419211973121564,12425,0.5882494969818913,0.04632829966973495
park_hit_factor,60854,0.038983428796647915,12175,0.5484188911704312,11367,0.5927685405120084,0.04434964934157726
pitcher_stuff_plus,54557,-0.029175475420567178,12577,0.5836049932416315,10906,0.5419035393361452,-0.041701453905486296
h2h_k_rate,37682,-0.029196195273922275,15137,0.593380458479223,7200,0.5555555555555556,-0.03782490292366747
h2h_hit_rate,37682,0.026316691969120495,15075,0.5629850746268656,7521,0.5948677037627975,0.03188262913593187
h2h_whiff_rate,37486,-0.020157929788227898,14999,0.5923728248549903,7382,0.5610945543213222,-0.03127827053366816
pitcher_hits_last_18_ip,64037,0.015998983331715993,15415,0.5523840415180019,10001,0.5808419158084192,0.02845787429041724
h2h_xba,33134,0.018679280442221703,6633,0.5777174732398613,6611,0.6029345031008925,0.025217029861031137
hitter_bb_rate_season,63846,0.011078849155201348,13062,0.5448629612616751,12590,0.5687847498014297,0.023921788539754574
h2h_exit_velocity,34668,0.018277954799874364,7013,0.5700841294738344,6816,0.5903755868544601,0.020291457380625766
pitcher_last_start_strikeouts,677,-0.013078940534670484,218,0.6100917431192661,66,0.5909090909090909,-0.019182652210175122
bullpen_hpi,64194,0.006382904591294875,12995,0.557291265871489,12746,0.5758669386474188,0.018575672775929752
hitter_bb_rate_500_pa,64376,0.01854665472502022,13735,0.5568984346559883,12806,0.5737935342808058,0.0168950996248175
bullpen_opp_ba,64194,0.007431304684971637,13379,0.5601315494431572,12546,0.5767575322812052,0.016625982838047948
inferred_pitch_type_coverage,64482,0.0036131269054057555,12968,0.565314620604565,12866,0.5637338722213586,-0.0015807483832064317
sprint_speed,62638,-0.002075081528501038,12680,0.5724763406940063,12335,0.5722740170247264,-0.00020232366927996903
starts_last_5,64482,-0.0048782977253427565,64482,0.5655997022424862,64482,0.5655997022424862,0.0
hitter_last_5_games_played,64482,0.03282019990725178,64482,0.5655997022424862,64482,0.5655997022424862,0.0
